,tweet,label
15,"Mengutip pernyataan guru besar di Melbourne, tim Prabowo menyebut pemerintahan Jokowi Neo-Orde Baru. https://kumparan.com/@kumparannews/tim-prabowo-di-mk-pemerintahan-jokowi-neo-orde-baru-1rH30p3iYEb?utm_medium=post&utm_source=Twitter&utm_campaign=int …",non_gempatsunami
16,"BPK memberi catatan mengenai pertumbuhan ekonomi, rasio utang, dan realisasi belanja subsidi. https://bisnis.tempo.co/read/1210186/bpk-kritik-pemerintah-soal-utang-sampai-pertumbuhan-ekonomi?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Bisnis_Robb …",non_gempatsunami
17,"#Gempa Mag:5.9, 02-Oct-18 11:49:31 WIB, Lok:10.54 LS,120.16 BT (65 km BaratDaya SUMBATIMUR-NTT), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/RSqrvtoHAa",gempatsunami
18,"#Gempa Mag:5.4, 08-Mar-18 10:33:57 WIB, Lok:3.30 LS,131.03 BT (90 km TimurLaut SERAMBAGIANTIMUR-MALUKU), Kedlmn:25 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/0gR2yzFdI5",gempatsunami
19,Peringatan dini cuaca wilayah Lampung [31 Mei 2019] #BMKG Selengkapnya klik tautan berikut http://www.bmkg.go.id/peringatan-dini/?p=vumn20190531 …,non_gempatsunami
20,BMKG menyampaikan gempa tak berpotensi tsunami.  https://news.detik.com/berita/d-4499668/gempa-m-61-terjadi-di-laut-alor-ntt?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1554594573 …,gempatsunami
21,Peringatan dini cuaca wilayah Sumatera Selatan [17 Juni 2019] #BMKG Selengkapnya klik tautan berikut http://www.bmkg.go.id/peringatan-dini/?p=v2kb20190617 …,non_gempatsunami
22,"(2) Update penanganan bencana gempa bumi tsunami Sulawesi Tengah, 4 Oktober 2018. #SultengBangkit #PrayForPalu #PrayForDonggala #SiapUntukSelamat #BudayaSadarBencana pic.twitter.com/uWr1AheWLb",gempatsunami
23,Salah satu adegan geladi lapang gempa dan tsunami yang dilakukan BPBD Prov. Sumbar di Kota Padang.  pic.twitter.com/hYMzuJzkVe,gempatsunami
24,"Tak Salat Id di Wilayahnya, 3 Camat Aceh Barat Terancam Dicopot https://ramadan.tempo.co/read/1213660/tak-salat-id-di-wilayahnya-3-camat-aceh-barat-terancam-dicopot?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …",non_gempatsunami
25,Mentan: Untuk Gempa Donggala dan Tsunami Palu Terkumpul Rp 10 Miliar  https://kumparan.com/@kumparanbisnis/mentan-untuk-gempa-donggala-dan-tsunami-palu-terkumpul-rp-10-miliar-1538364775974538763?utm_source=Twitter&utm_campaign=int&utm_medium=post …,gempatsunami
26,"Koalisi Masyarakat Sipil Antikorupsi menilai, ada sembilan kriteria yang patut diperhatikan dalam seleksi calon pimpinan KPK. http://dlvr.it/R6ks5m",non_gempatsunami
27,Gempa tidak berisiko menimbulkan tsunami.  http://dlvr.it/QzQ7mY,gempatsunami
28,"Turun Dibanding 2017, Pertamina Setor Dividen Rp 7,95 T ke Negara https://bisnis.tempo.co/read/1211112/turun-dibanding-2017-pertamina-setor-dividen-rp-795-t-ke-negara?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …",non_gempatsunami
29,Ini 12 Program Pendorong Transaksi Elektronik Pemerintah https://bisnis.tempo.co/read/1210259/ini-12-program-pendorong-transaksi-elektronik-pemerintah?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …,non_gempatsunami
30,"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) mencatat, gempa tersebut tidak berpotensi tsunami.  http://dlvr.it/Qwp8yL",gempatsunami
31,"Menurut dokter, perempuan itu memiliki jaringan payudara ektopik di bagian vulvanya sehingga mengeluarkan susu. https://kumparan.com/@kumparansains/kondisi-medis-langka-kemaluan-seorang-ibu-mengeluarkan-susu-1rGiGSoEsO8?utm_medium=post&utm_source=Twitter&utm_campaign=int …",non_gempatsunami
32,"Gempa 5,2 SR Guncang Samosir, Tak Berpotensi Tsunami  http://detik.id/6oofYi  pic.twitter.com/zI2mqUBAL6",gempatsunami
33,"Nurul ditemukan selamat dan masih hidup, setelah lebih dari 48 jam tertimbun bangunan rumahnya di Perumnas Balaroa yang runtuh akibat gempa sekaligus tsunami di Palu.    https://tirto.id/c3Qf",gempatsunami
34,Daryono Kepala bidang Informasi Gempabumi dan Peringatan Dini Tsunami BMKG menuturkan erupsi Gunung Soputan disebabkan 7 gempa kuat selama 2 bulan.  http://dlvr.it/QtvlCT,gempatsunami
35,Saipul Jamil medapat remisi pada saat Lebaran lalu. https://kumparan.com/@kumparanhits/saipul-jamil-dapat-remisi-satu-bulan-karena-berkelakuan-baik-1rHCSFlEaah?utm_medium=post&utm_source=Twitter&utm_campaign=int …,non_gempatsunami
36,Tarif Penyeberangan Arus Balik Lebaran Lebih Murah Siang Hari https://bisnis.tempo.co/read/1212103/tarif-penyeberangan-arus-balik-lebaran-lebih-murah-siang-hari?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …,non_gempatsunami
37,"Bahkan, kamu bisa bermain sebagai seorang nenek-nenek yang ternyata mantan pembunuh bayaran di Watch Dogs Legion. https://kumparan.com/@kumparantech/game-watch-dogs-legion-ajak-pemain-rekrut-siapa-saja-menjadi-hacker-1rGhkmoKf7q?utm_medium=post&utm_source=Twitter&utm_campaign=int …",non_gempatsunami
38,"Selain korban meninggal, Viryan menyebut ada kurang lebih 133 ribu korban gempa dan tsunami yang mengungsi ke luar wilayah Sulteng.  http://dlvr.it/QtRkjy",gempatsunami
39,Tersangka perusuh bersenjata api dalam kerusuhan 22 Mei ini mengaku membangun rumah di atas tanah pemberian orang lain. http://bit.ly/2Wc7Yfj,non_gempatsunami
40,"Ahad, 2 Juni nanti, diprediksi ada 80.912 kendaraan pemudik yang memadati ruas tol Palikanci. https://bisnis.tempo.co/read/1210522/puncak-arus-mudik-di-tol-palikanci-diprediksi-h-3?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Bisnis_Robb …",non_gempatsunami
41,Peringatan dini cuaca wilayah Kalimantan Tengah [12 Juni 2019] #BMKG Selengkapnya klik tautan berikut http://www.bmkg.go.id/peringatan-dini/?p=dxqa20190612 …,non_gempatsunami
42,"VIRAL   Ajang balap motor MXGP di Palembang, 6-7 Juli 2019, akan diikuti juara dunia tahun lalu asal Belanda, Jeffrey Herlings. http://bit.ly/2Qu59QB",non_gempatsunami
43,"Kelurahan Petobo merupakan salah satu daerah yang paling dahsyat mengalami kerusakan akibat terguncang gempa bermagnitudo 7,4 dan tsunami.  http://dlvr.it/Qlxv1p",gempatsunami
44,"Gempa bumi magnitudo 4,7 dan 4,8 terjadi di Kecamatan Melonguane, Kabupaten Talaud, Sulawesi Utara. Gempa ini tak berpotensi menimbulkan tsunami.  http://bit.ly/2Yal7SN",gempatsunami
45,"Pada awal abad ke-20, kaum perempuan masih sering dikurung di dalam rumah. Pada akhirnya, perempuan-perempuan seperti Kartini dan istri-istri anggota Budi Utomo memilih untuk mengesampingkan adat agar dapat berpartisipasi dalam kebangkitan nasional.   https://tirto.id/dRGj  pic.twitter.com/Zt1KHkKWKT",non_gempatsunami
46,Tren Pencarian Rumah Kembali Naik usai Lebaran 2019 https://bisnis.tempo.co/read/1214909/tren-pencarian-rumah-kembali-naik-usai-lebaran-2019?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …,non_gempatsunami
47,KPU: Calon Wakil Presiden Ma'ruf Amin Tak Langgar Aturan Pemilu http://bit.ly/2WDKakH,non_gempatsunami
48,"#Gempa Mag:5.2, 15-Jul-18 11:09:25 WIB, Lok:3.35 LS,140.04 BT (45 km Tenggara KAB-JAYAPURA-PAPUA), Kedlmn:106 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/AaNYIcuVl0",gempatsunami
49,Penjelasan BMKG Kenapa Gempa Mentawai Tak Memicu Tsunami  http://bit.ly/21F3Yk3  pic.twitter.com/bes3iN7cWP,gempatsunami
50,gempa ini tidak berpotensi tsunami.,gempatsunami
51,Ketidakpastian Brexit dikhawatirkan bakal berpengaruh terhadap investasi di Inggris.  Mengapa demikian? #Money https://money.kompas.com/read/2019/06/17/150700326/ketidakpastian-brexit-ancam-iklim-investasi-inggris …,non_gempatsunami
52,BNPB Jelaskan soal Peringatan Tsunami Nyala Akibat Gempa di Tasik  http://detik.id/Vk8OLf  pic.twitter.com/3f9HMOWlwI,gempatsunami
53,Begini suasana deretan bangku kosong yang mewarnai Rapat Paripurna DPR ke-18. https://foto.tempo.co/read/72726/deretan-kursi-kosong-dalam-rapat-paripurna-dpr-ke-18?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Foto_Robb …,non_gempatsunami
54,Korban Gempa dan Tsunami Palu Antre untuk Dapatkan Air Bersih  http://bit.ly/2C4LMbJ,gempatsunami
55,"Getaran terasa di daerah Tual dan Saumlaki, Maluku, hingga ke Sorong, Papua Barat. #userstory https://kumparan.com/daryono-bmkg/gempa-guncang-zona-weber-deep-di-laut-banda-tak-berpotensi-tsunami-1rHO87QqzHd?utm_medium=post&utm_source=Twitter&utm_campaign=int …",non_gempatsunami
56,"Gempa Magnitudo 5,5 Guncang Malang, Tidak Berpotensi Tsunami  https://tekno.tempo.co/read/1108674/gempa-magnitudo-55-guncang-malang-tidak-berpotensi-tsunami?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Tekno_Guntur …",gempatsunami
57,"#Gempa Mag:5.2, 13-Jul-18 10:34:11 WIB, Lok:4.81 LS,138.61 BT (36 km TimurLaut ASMAT-PAPUA), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/Y7FSZ9gDNM",gempatsunami
58,"#Gempa Mag:5.1, 22-Aug-18 21:50:22 WIB, Lok:8.15 LS,116.82 BT (49 km TimurLaut LOMBOKTIMUR-NTB), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/dXPQzMG9pj",gempatsunami
59,Peringatan dini cuaca wilayah Kalimantan Tengah [03 Juni 2019] #BMKG Selengkapnya klik tautan berikut http://www.bmkg.go.id/peringatan-dini/?p=vini20190603 …,non_gempatsunami
60,6 Kiat Berkendara Sepeda Motor Aman dan Nyaman saat Mudik https://otomotif.tempo.co/read/1210659/6-kiat-berkendara-sepeda-motor-aman-dan-nyaman-saat-mudik?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …,non_gempatsunami
61,"Calon Wakil Presiden Ma'ruf Amin mengirimkan bantuan logistik untuk para korban gempa dan tsunami di Sulawesi Tengah. Bantuan logistik ini diserahkan kepada relawan korban gempa Palu, Donggala, dan Sigi. #Liputan6SCTV pic.twitter.com/sYuw1ynnDN",gempatsunami
62,"#Gempa Mag:5.4, 26-Feb-18 09:25:34 WIB, Lok:6.31 LS,142.82 BT (281 km Tenggara BOVENDIGOEL-PAPUA), Kedlmn:5 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/tXfnbMsHnl",gempatsunami
63,Ini Pertimbangan S&P Sebelum Naikkan Peringkat Utang RI https://bisnis.tempo.co/read/1211413/ini-pertimbangan-sp-sebelum-naikkan-peringkat-utang-ri?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …,non_gempatsunami
64,"⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣ BNPB Ditunjuk Sebagai Lokasi Penutupan Kongres Sungai Indonesia Ke-4⁣ ⁣ BOGOR - BNPB sebagai lembaga yang mempunyai program mitigasi bencana, ditunjuk sebagai tuan rumah penutupan Kongres sungai...  https://www.facebook.com/265134686905181/posts/2172087232876574/ …",non_gempatsunami
65,Kabar duka.. http://bit.ly/2ICaNgd,non_gempatsunami
66,Kubu Jokowi sudah menyerahkan 19 bukti ke Mahkamah Konstitusi dalam rangka menghadapi sidang MK http://bit.ly/2Km2Oam,non_gempatsunami
67,"#Gempa Mag:5.9, 08-Sep-18 03:44:12 WIB, Lok:2.57 LU,125.06 BT (46 km BaratLaut SIAUTAGULANDANGBIARO-SULUT), Kedalaman:189 Km, tidak berpotensi tsunami #BMKG",gempatsunami
68,"#Gempa Mag:5.1, 19-Aug-18 23:21:08 WIB, Lok:8.33 LS,116.92 BT (44 km TimurLaut LOMBOKTIMUR-NTB), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/xtzxvGTaLw",gempatsunami
69,"Rapat di DPR, Menhub Budi Karya Dicecar Soal Tiket Pesawat https://bisnis.tempo.co/read/1214059/rapat-di-dpr-menhub-budi-karya-dicecar-soal-tiket-pesawat?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …",non_gempatsunami
70,Bantuan Asing Mengalir Untuk Korban Gempa dan Tsunami di Sulawesi  http://detik.id/VlwTxg  pic.twitter.com/4RN5NpAfZu,gempatsunami
71,"Gempa bumi dengan magnitudo 5 mengguncang Jayapura, Papua. Gempa tersebut dilaporkan tidak berpotensi tsunami.  https://news.detik.com/berita/4406266/gempa-magnitudo-5-terjadi-di-jayapura-tak-berpotensi-tsunami?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1548781171 …",gempatsunami
72,"#Gempa Mag:5.0, 20-Sep-18 09:36:43 WIB, Lok:4.32 LU,127.64 BT (107 km TimurLaut KEP-TALAUD-SULUT), Kedlmn:126 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/64EdnjZ6Kd",gempatsunami
73,"""Seperti yang pernah disampaikan pada pemaparan kecurangan Pemilu 2019, pasangan calon 02 tidak akan menerima hasil penghitungan suara yang dilakukan oleh KPU selama penghitungan tersebut bersumber pada kecurangan."" —Prabowo http://tirto.id/dTmH",non_gempatsunami
74,"#Gempa Mag:5.1, 23-Apr-18 14:37:08 WIB, Lok:6.42 LS,123.64 BT (121 km Tenggara WAKATOBI-SULTRA), Kedlmn:665 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/ODpictzhCL",gempatsunami
75,Orang tua bayi sempat menolak dievakuasi oleh BPBD Konawe saat rumah mereka mulai terendam banjir. #publisherstory https://kumparan.com/kendarinesia/bayi-umur-4-hari-di-konawe-sultra-meninggal-dunia-karena-hipotermia-1rGeugxonMB?utm_medium=post&utm_source=Twitter&utm_campaign=int …,non_gempatsunami
76,Kim Kadarshian selalu dikeliling oleh barang mewah namun dia juga kerap peduli akan sesama. Kali ini ia memperhatikan nasib mantan narapidana soal tranportasi. Seperti apa kisahnya? #kimkadarshian   via @DetikOto https://oto.detik.com/rona-roda/d-4588661/kim-kadarshian-beri-perhatian-ke-mantan-napi-soal-transportasi?utm_content=detikoto&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1560746872 …,non_gempatsunami
77,Inggris juga mempertimbangkan pengiriman kapal perang untuk membantu korban gempa dan tsunami.  http://dlvr.it/Qm1F2L,gempatsunami
78,Kronologi Pemulung di Cirebon Temukan 5 Bom Aktif http://bit.ly/2wYPMXM,non_gempatsunami
79,"Gempa 8,3 Skala Richter Guncang Mentawai, Berpotensi Tsunami  http://kom.ps/AFuluw",gempatsunami
80,Tarif Taksi Online Berdasarkan 2 Zonasi yang Akan Berlaku 18 Juni https://bisnis.tempo.co/read/1214877/tarif-taksi-online-berdasarkan-2-zonasi-yang-akan-berlaku-18-juni?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …,non_gempatsunami
81,#kompastv Pertamina Kirim Bantuan BBM ke Korban Gempa dan Tsunami  http://qoo.ly/sfzyk,gempatsunami
82,"Soal Ribuan Pelanggaran Netralitas ASN, Begini Tindaklanjut KASN http://bit.ly/2MDN0Sh",non_gempatsunami
83,"Gempa 8,2 SR Guncang Meksiko, Berpotensi Tsunami  http://detik.id/66Icl7  via @detik_tv",gempatsunami
84,"3)Lokasi gempa ada di 263 Km Barat Daya. Dalam situs BMKG disebut, gempa ini tidak berpotensi tsunami. #gempabumi",gempatsunami
85,"Gempa 6,8 SR Guncang Papua New Guine, Tidak Berpotensi Tsunami  http://de.tk/KVs7Z",gempatsunami
86,"Gempa 7,8 SR Guncang Selandia Baru, USGS Keluarkan Peringatan Tsunami  http://de.tk/fdibn",gempatsunami
87,"#Gempa Mag:5.0, 18-Apr-19 04:16:46 WIB, Lok:3.25 LU,92.79 BT (346 km BaratDaya CALANG-ACEHJAYA), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/CLwALBtBcm",gempatsunami
88,"AHY-Ibas Berlebaran dengan Megawati, JK: Cairkan Suasana Politik https://nasional.tempo.co/read/1213713/ahy-ibas-berlebaran-dengan-megawati-jk-cairkan-suasana-politik?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Nasional_Guntur …",non_gempatsunami
89,Komplek kantor TVRI Palu hancur berantakan usai bencana gempa dan tsunami menerjang kawasan ini. #Liputan6SCTV pic.twitter.com/19Ib2igyXc,gempatsunami
90,Empat terduga teroris yang ditangkap Densus 88 Antiteror Polri di Bekasi ternyata pelarian dari Aceh pada Desember 2018. http://bit.ly/2F3W38O,non_gempatsunami
91,"#Gempa Mag:5.0, 01-May-18 13:13:31 WIB, Lok:8.86 LS,118.37 BT (36 km Tenggara DOMPU-NTB), Kedlmn:115 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/oNoiVrBbWN",gempatsunami
92,JK dan Sekjen PBB Tinjau Lokasi Gempa dan Tsunami Palu  http://dlvr.it/Qn59bw,gempatsunami
93,"Ikuti berita terkini seputar gaya hidup, fashion, tips kecantikan, tips karier hanya di  http://kumparan.com/@kumparanWOMAN .",non_gempatsunami
94,Karakter tradisional Indonesia seperti ondel-ondel akan meramaikan PUBG Mobile. https://tekno.tempo.co/read/1209827/pubg-mobile-akan-tampilkan-karakter-asli-indoinesia?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Tekno_Robb …,non_gempatsunami
95,Bingung Mau ke Mana? Ini Daftar Mitra BNI yang Menarik Dikunjungi https://bisnis.tempo.co/read/1212145/bingung-mau-ke-mana-ini-daftar-mitra-bni-yang-menarik-dikunjungi …,non_gempatsunami
96,"BMKG: Gempa di Sabang Sempat Bikin Panik, Tapi Tak Perlu Khawatir Tsunami  http://detik.id/6Lxotl  pic.twitter.com/xCmtMhEHMf",gempatsunami
97,Google mengizinkan pemilik iPhone dan iPad menggunakan kunci keamanan Android untuk masuk ke akun Google. http://bit.ly/2MNoMoD,non_gempatsunami
98,Bambang Widjojanto Bacakan Gugatan Pilpres Versi Perbaikan http://bit.ly/2wQy8oS,non_gempatsunami
99,Evakuasi Gempa Jangan Tunggu Peringatan Tsunami  http://bit.ly/cdCYeB,gempatsunami
100,Sedan Toyota Made In Indonesia Diekspor ke 13 Negara http://bit.ly/2QxI8wn,non_gempatsunami
101,Peringatan dini cuaca wilayah Lampung [16 Juni 2019] #BMKG Selengkapnya klik tautan berikut  http://www.bmkg.go.id/peringatan-dini/?p=h80120190616 …,non_gempatsunami
102,"#Gempa Mag:5.2, 17-Mar-19 14:09:19 WIB, Lok:8.51 LS,116.49 BT (7 km BaratLaut LOMBOKTIMUR-NTB), Kedlmn:11 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/e0RHWn7gwu",gempatsunami
103,"""Ya awalnya seperti itu (Sofyan menolak diperiksa karena sakit) ya, tapi kemudian yang bersangkutan hari ini bisa memberi keterangan gitu ya,"" kata Kabid Humas Polda Metro Jaya, Kombes Argo Yuwono. #kasusmakar #sofyanjacob https://news.detik.com/berita/d-4589317/sempat-mengeluh-sakit-sofyan-jacob-akhirnya-bersedia-diperiksa-polisi?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1560767426 …",non_gempatsunami
104,Jakarta Night Festival 2019 akan digelar pada tanggal 22 Juni mendatang. https://kumparan.com/@kumparannews/hut-jakarta-akan-dimeriahkan-jakarta-night-festival-hingga-lomba-vlog-1rH2eFJSKtV?utm_medium=post&utm_source=Twitter&utm_campaign=int …,non_gempatsunami
105,"Enam terduga teroris yang berafiliasi dengan JAD itu pernah mengikuti pelatihan militer di Gunung Salak, Aceh.   https://metro.tempo.co/read/1214024/terduga-teroris-bekasi-yang-ditangkap-densus-88-kabur-dari-aceh?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Metro_Robb …",non_gempatsunami
106,"#Gempa Mag:5.0, 14-Apr-19 03:43:31 WIB, Lok:7.35 LU,94.42 BT (190 km BaratLaut KOTA-SABANG-ACEH), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/347EQoQTYn",gempatsunami
107,"Libur Lebaran, Coba Wisata Petik Apel di Jawa Timur Park http://bit.ly/2XjQbzD",non_gempatsunami
108,"Akibat Gigitan Kutu, Joanne Habiskan 8 Tahun Hidupnya di Kamar http://bit.ly/2wJGb6P",non_gempatsunami
109,Ia memastikan pemerintah bergerak cepat dalam penanganan pasca gempa dan tsunami.  http://dlvr.it/Qm1JHg,gempatsunami
110,"#Gempa Mag:5.4, 08-Jan-19 16:54:45 WIB, Lok:7.85 LS,106.48 BT (113 km BaratDaya KOTA-SUKABUMI-JABAR), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/bBknZ6CeBY",gempatsunami
111,"Eksim seringkali muncul pada periode enam bulan pertama hingga 5 tahun kehidupan anak. Yang perlu diketahui oleh orangtua, penyakit ini tidaklah menular. http://tirto.id/dQ5x",non_gempatsunami
112,"DUA GEMPA GUNCANG SORONG DAN TELUK BINTUNI PAPUA BARAT, TIDAK BERPOTENSI TSUNAMI  Hari Rabu, 12 (cont)  http://tl.gd/nn0fn3",gempatsunami
113,"Gempa bumi magnitudo 5,7 terjadi di Poso, Sulawesi Tengah. Gempa tersebut tidak menimbulkan potensi tsunami.  https://news.detik.com/berita/d-4480861/gempa-m-57-guncang-poso?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1553393877 …",gempatsunami
114,Komisi V Dewan Perwakilan Rakyat atau DPR mengusulkan Kementerian Perhubungan menambah anggaran untuk transportasi darat http://bit.ly/2KfbYFo,non_gempatsunami
115,"Gunung Agung Lontarkan Pijar ke Segala Arah, Ini Imbauan PVMBG   http://bit.ly/2WE7grq  pic.twitter.com/80DnmmM4Ic",non_gempatsunami
116,Ini Cara Owabong Purbalingga Bantu Korban Gempa dan Tsunami di Palu  http://qoo.ly/sgs9n,gempatsunami
117,UNHCR Kirim Bantuan untuk Penyintas Gempa-Tsunami Sulawesi Tengah  http://dlvr.it/Qnzxgx,gempatsunami
118,"Viral Kuda Pingsan Saat Narik Delman, Pemilik Cerita Sebenarnya... http://bit.ly/2F8ommI",non_gempatsunami
119,Polri Selidiki Keterlibatan Tim Mawar dalam Kerusuhan 22 Mei http://bit.ly/2EZyNcg,non_gempatsunami
120,Sandi: Gempa dan Tsunami Palu Layak Disebut Sebagai Bencana Nasional  https://kumparan.com/@kumparannews/sandi-gempa-dan-tsunami-palu-layak-disebut-sebagai-bencana-nasional-1538376947825939984?utm_source=Twitter&utm_campaign=int&utm_medium=post …,gempatsunami
121,Tsunami Hasil Gempa Kepulauan Solomon Tak Terjadi di Indonesia  http://de.tk/6Jt3Uc,gempatsunami
122,"#Gempa Mag:5.0, 02-Feb-19 20:10:23 WIB, Lok:2.83 LS,100.11 BT (109 km Tenggara KEP-MENTAWAI-SUMBAR), Kedalaman:20 Km, tidak berpotensi tsunami #BMKG",gempatsunami
123,"Tak Potensi Tsunami, Gempa 5,3 SR Guncang Maluku  http://de.tk/EK3ga",gempatsunami
124,"Arus Balik Menuju Jakarta, Isi BBM Sebelum Masuk Tol Semarang https://otomotif.tempo.co/read/1212663/arus-balik-menuju-jakarta-isi-bbm-sebelum-masuk-tol-semarang?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …",non_gempatsunami
125,Top 3 News: Palu Bak Kota Mati Usai Diguncang Gempa dan Tsunami  http://dlvr.it/Qm0d1r,gempatsunami
126,"#Gempa Mag:5.2, 24-Apr-18 10:05:37 WIB, Lok:8.51 LS,118.31 BT (4 km BaratLaut DOMPU-NTB), Kedlmn:140 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/W8zrnJfBQb",gempatsunami
127,Gempa di kedalaman 26 kilometer itu berpotensi tsunami.  http://dlvr.it/QvVR3T,gempatsunami
